Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI
2019-04-09,8279.0,8344.900390625,8090.0,8279.0,5298.44091796875,22215,1,192.2274002968561,7.672947359462711,184.5544529373934,67.56415959036649
2019-04-10,8330.0,8449.900390625,8200.0,8330.0,5331.080078125,16493,1,202.15570331840445,14.08100030480881,188.07470301359564,68.78745286906907
2019-04-11,8161.0,8319.900390625,8116.0,8161.0,5222.92236328125,30638,-1,194.1490381265303,4.859468090347718,189.28957003618257,60.62768784879424
2019-04-12,8121.0,8250.0,8121.0,8121.0,5197.32275390625,5218,-1,182.4726020004,-5.4535744286260694,187.92617642902607,58.84834098089587
2019-04-15,8199.0,8199.0,8100.0,8199.0,5247.2421875,10587,1,177.46715942864103,-8.367213600308048,185.83437302894907,61.23737371883467
2019-04-16,8150.0,8278.900390625,8110.0,8150.0,5215.88232421875,24544,-1,167.6142667079912,-14.576085056766317,182.1903517647575,58.92314216050018
2019-04-17,8245.0,8265.0,8000.0,8245.0,5276.68115234375,5000,1,165.56297734898635,-13.301899532616943,178.8648768816033,61.92725764118074
2019-04-18,8200.0,8235.0,8171.0,8200.0,5247.88134765625,51190,-1,158.47934064493438,-16.30842898933514,174.78776963426952,59.70001545625645
2019-04-22,7930.0,8197.0,7917.0,7930.0,5183.283203125,13245,-1,129.58498891788622,-36.16222457310664,165.74721349099286,48.44238378601187
2019-04-23,7934.0,7978.89990234375,7900.0,7935.0,5186.5517578125,1760,1,105.86907244891154,-47.90251283366507,153.7715852825766,48.6355477797856
2019-04-24,7832.0,7935.0,7801.0,7832.0,5119.2275390625,27810,-1,77.8652168398994,-60.725094754141764,138.59031159404117,44.903355213621204
2019-04-25,7710.0,7850.0,7680.0,7710.0,5039.48486328125,7923,-1,45.30532749563099,-74.62798727872816,119.93331477435915,40.89985975675668
2019-04-26,7770.0,7789.7998046875,7710.0,7770.0,5078.7021484375,33925,1,24.065467439630083,-76.69427786778326,100.75974530741334,43.56479556649228
2019-04-29,7730.0,7800.0,7730.0,7730.0,5052.5576171875,6452,-1,3.9594179092637205,-77.4402619185197,81.39967982778342,42.19867057979644
