Date,Open,High,Low,Close,Adj Close,Volume
2017-12-21,26104.927734375,26224.62890625,25841.33203125,25933.017578125,20485.13671875,120146
2017-12-22,26422.64453125,26741.6328125,25971.21875,26625.115234375,21031.841796875,52738
2017-12-26,26627.025390625,26963.84375,26105.564453125,26874.068359375,21228.49609375,82614
2017-12-27,26741.6328125,26741.6328125,26423.28125,26627.025390625,21033.34765625,64687
2017-12-28,26677.962890625,27059.986328125,26677.962890625,27038.974609375,21358.759765625,157085
2017-12-29,26964.48046875,27378.337890625,26964.48046875,27238.263671875,21516.181640625,90195
2018-01-02,27238.263671875,27690.32421875,27236.353515625,27677.58984375,21863.21875,66869
2018-01-03,27378.337890625,27677.58984375,26741.6328125,26931.37109375,21273.76171875,370233
2018-01-04,27123.65625,27442.009765625,26773.46875,27214.705078125,21497.576171875,169346
2018-01-05,27377.701171875,27696.69140625,27059.986328125,27598.001953125,21800.349609375,100071
2018-01-08,27664.21875,27696.69140625,27589.087890625,27654.669921875,21845.11328125,86845
2018-01-09,27696.69140625,27824.033203125,26741.6328125,27744.4453125,21916.02734375,88582
2018-01-10,27744.4453125,27824.033203125,26996.31640625,27810.662109375,21968.3359375,57304
2018-01-11,27792.197265625,27792.197265625,27123.65625,27633.021484375,21828.013671875,101872
2018-01-12,27633.021484375,27887.703125,27314.66796875,27500.5859375,21723.40234375,68632
2018-01-15,27537.515625,27824.033203125,27072.720703125,27451.560546875,21684.669921875,72251
2018-01-17,27569.349609375,27887.703125,27123.65625,27645.755859375,21838.072265625,148954
2018-01-18,27645.755859375,27887.703125,27454.744140625,27852.68359375,22001.52734375,133113
2018-01-19,27852.68359375,27951.373046875,27378.974609375,27888.9765625,22030.19921875,107448
2018-01-22,27881.3359375,28046.87890625,27569.349609375,27980.662109375,22102.623046875,51801
2018-01-23,28015.044921875,28078.71484375,27983.208984375,28043.05859375,22151.912109375,109232
2018-01-24,28078.71484375,28651.11328125,28065.98046875,28319.390625,22370.1953125,70494
2018-01-25,28174.220703125,28643.47265625,28174.220703125,28584.259765625,22579.419921875,109768
2018-01-26,28584.259765625,29606.80859375,28346.130859375,29382.6875,23210.119140625,130327
2018-01-29,29382.6875,29606.80859375,29163.025390625,29499.205078125,23302.158203125,87101
2018-01-30,29499.205078125,29499.205078125,28728.154296875,29147.107421875,23024.02734375,97026
2018-01-31,29147.107421875,29670.478515625,28333.396484375,29307.556640625,23150.7734375,149254
2018-02-01,29669.205078125,29925.16015625,29669.205078125,29848.119140625,23577.771484375,79927
2018-02-02,29924.5234375,29925.796875,28671.48828125,29708.681640625,23467.62890625,83906
2018-02-05,29670.478515625,30498.1953125,28906.431640625,29096.169921875,22983.791015625,137693
2018-02-06,28970.103515625,28970.103515625,28339.763671875,28470.92578125,22489.892578125,113895
2018-02-07,28333.396484375,30179.20703125,28473.47265625,29504.298828125,23306.181640625,142585
2018-02-08,29288.455078125,29352.126953125,28656.20703125,28913.435546875,22839.443359375,103385
2018-02-09,28716.693359375,28842.76171875,28015.044921875,28032.236328125,22143.36328125,78709
2018-02-12,28639.015625,28904.521484375,28078.71484375,28097.81640625,22195.166015625,49065
2018-02-13,28097.81640625,28422.53515625,28078.71484375,28097.1796875,22194.6640625,36451
2018-02-14,28078.71484375,28491.9375,28072.34765625,28444.8203125,22469.271484375,60481
2018-02-15,28651.75,29573.69921875,28207.330078125,28495.7578125,22509.51171875,68000
2018-02-16,28970.103515625,28970.103515625,28378.603515625,28613.546875,22602.552734375,22724
2018-02-19,28613.546875,29288.455078125,28613.546875,29288.455078125,23135.6796875,17540
2018-02-20,29224.78515625,29288.455078125,28465.83203125,29078.341796875,22969.705078125,83610
2018-02-21,29287.181640625,30052.501953125,29121.638671875,29835.384765625,23567.71875,110275
2018-02-22,29829.654296875,29925.16015625,28963.736328125,29817.55859375,23553.6328125,65735
2018-02-23,29288.455078125,30243.513671875,29288.455078125,30027.033203125,23719.10546875,37879
2018-02-26,29988.83203125,29988.83203125,29040.140625,29089.802734375,22978.759765625,64496
2018-02-27,29161.115234375,29606.80859375,28651.11328125,28775.271484375,22730.306640625,129395
2018-02-28,28779.091796875,28849.12890625,27422.908203125,28220.064453125,22291.732421875,173646
2018-03-01,28387.517578125,28632.6484375,27601.185546875,28046.2421875,22154.427734375,136631
2018-03-02,28050.69921875,29033.7734375,26932.0078125,28614.18359375,22603.05859375,121715
2018-03-05,28614.18359375,29460.365234375,27474.48046875,28508.490234375,22519.568359375,112442
2018-03-06,28508.490234375,28963.736328125,28177.404296875,28418.078125,22448.1484375,55661
2018-03-07,28418.078125,28458.19140625,27958.376953125,28046.2421875,22154.427734375,58372
2018-03-08,28158.302734375,28652.38671875,27830.400390625,28488.75390625,22503.9765625,267228
2018-03-09,28492.57421875,29486.470703125,27763.544921875,29154.748046875,23030.064453125,72608
2018-03-12,29099.990234375,29923.88671875,29099.990234375,29492.201171875,23296.626953125,87013
2018-03-13,29493.474609375,29922.61328125,28810.92578125,29207.59375,23071.8046875,127793
2018-03-14,29409.4296875,29797.8203125,28785.458984375,29464.185546875,23274.49609375,33048
2018-03-15,29511.302734375,29511.302734375,28715.419921875,29009.578125,22915.38671875,38784
2018-03-16,29005.12109375,29287.818359375,28333.396484375,28530.138671875,22536.669921875,241400
2018-03-19,28652.38671875,28842.76171875,28476.65625,28702.685546875,22672.966796875,52137
2018-03-20,28651.75,28836.39453125,28650.4765625,28698.228515625,22669.447265625,85860
2018-03-21,28715.419921875,28953.548828125,28651.75,28889.876953125,22820.8359375,58912
2018-03-22,28651.75,28651.75,28015.044921875,28248.71484375,22842.9765625,75870
2018-03-23,28247.44140625,28298.37890625,28015.044921875,28160.212890625,22771.408203125,76511
2018-03-26,28237.890625,28237.890625,27442.009765625,27643.845703125,22353.853515625,88606
2018-03-27,27696.69140625,28334.033203125,27647.029296875,27753.359375,22442.412109375,67863
2018-03-28,28078.71484375,28078.71484375,27454.744140625,27590.998046875,22311.12109375,131241
2018-03-29,27696.69140625,28714.146484375,27602.458984375,28523.771484375,23065.396484375,153713
2018-04-02,28077.44140625,28970.103515625,28077.44140625,28429.5390625,22989.1953125,27021
2018-04-03,28371.599609375,29160.478515625,28429.5390625,28889.240234375,23360.9296875,109983
2018-04-04,29062.42578125,29033.7734375,28430.17578125,28895.607421875,23366.076171875,181199
2018-04-05,28887.330078125,29154.748046875,28430.8125,28648.56640625,23166.310546875,51300
2018-04-06,28648.56640625,28648.56640625,28021.412109375,28247.44140625,22841.947265625,30874
2018-04-09,28251.26171875,28905.794921875,28030.326171875,28633.28515625,23153.955078125,62309
2018-04-10,28779.091796875,29097.443359375,28779.091796875,28934.447265625,23397.482421875,64412
2018-04-11,28920.439453125,28920.439453125,28239.1640625,28446.73046875,23003.095703125,60483
2018-04-12,28645.3828125,28683.5859375,28580.439453125,28626.28125,23148.2890625,30739
2018-04-13,28842.125,29027.40625,28558.154296875,28708.416015625,23214.705078125,27255
2018-04-16,28708.416015625,28708.416015625,28085.08203125,28495.12109375,23042.228515625,19396
2018-04-17,28463.28515625,28651.75,28333.396484375,28584.259765625,23114.306640625,43597
2018-04-18,28651.75,29594.7109375,28524.408203125,29539.318359375,23886.60546875,98375
2018-04-19,28683.5859375,29594.07421875,28683.5859375,29274.447265625,23672.419921875,90798
2018-04-20,29600.44140625,29600.44140625,28779.091796875,28948.455078125,23408.8125,46539
2018-04-23,28948.455078125,29320.291015625,28930.626953125,29278.267578125,23675.509765625,28053
