,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,CCI_14,WILLR_14,TSI_13_25_13,CMO,COPP,ATR_14,RSI_14,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1909,2022-08-26,20792.615234375,21095.36328125,20355.888671875,20792.615234375,18798.26171875,28920,1,198.08748891170853,-23.79290972610225,2.3439532038634945,22.138446934817107,2.5077403941370657,469.25066349102826,61.06922346740856,-0.1092755051570073,0.521043099462986,-0.7389035355299711
1910,2022-08-29,21646.173828125,21646.173828125,20925.435546875,21646.173828125,19569.951171875,32071,1,256.04222579985446,0.0,9.741106723613065,41.62017578706644,4.981314368065569,496.7012299380977,70.81008789353322,-0.2377636540975225,0.3894716016948223,-0.905951462686062
1911,2022-08-30,21686.2578125,22006.943359375,21453.763671875,21686.2578125,19606.19140625,46536,0,213.24546411774895,-14.683338505275836,15.45011984369118,42.3496809598552,7.118299276949496,500.7354054782336,71.1748404799276,-0.2249689135286543,0.4376253187656402,-0.8608722165226936
1912,2022-08-31,21165.146484375,22007.744140625,21165.146484375,21165.146484375,19135.0625,186438,-1,132.15114443252912,-38.56616572339385,16.607683451879307,21.15398797070841,7.902699514487227,525.1541376762169,60.5769939853542,-0.3080584423732944,0.3503942191600799,-0.8172066323459148
1913,2022-09-01,21325.48828125,21726.34375,21205.232421875,21325.48828125,19280.0234375,10596,1,102.62808867752098,-31.985829045694825,18.152867295678004,24.8612721311718,9.234920677158216,527.7286468154157,62.4306360655859,-0.2372255965269037,0.3425725363194942,-0.6068309284746647
1914,2022-09-02,22448.685546875,22863.970703125,21325.48828125,22448.685546875,20295.48828125,13541,1,154.71973089457768,-13.892756590901811,23.66304507270745,44.535082790903466,12.09850762399087,599.9253450339575,72.26754139545173,-0.4514953302792631,0.1147828698158264,-0.855307218618691
1915,2022-09-05,23025.115234375,24051.302734375,22592.9921875,23025.115234375,20816.630859375,5014,1,186.9037666538877,-24.57020335344967,29.489024831478027,51.54676766707482,15.416536763131385,671.546190924389,75.7733838335374,-0.3017985364017279,0.1583754867315292,-0.827604073099792
1916,2022-09-06,22596.19921875,23249.59375,21770.4375,22596.19921875,20428.853515625,73146,-1,108.29805479588364,-34.83982145487621,31.2335063296517,37.60701112679784,17.844382602649496,729.232623715504,68.80350556339891,-0.2008055159822106,0.1866662725806236,-0.647707112133503
1917,2022-09-07,21806.515625,22596.19921875,21726.34375,21806.515625,19714.9140625,9105,-1,61.66849648696033,-53.74736659971614,28.325571581737808,16.38150661662151,18.437541464349508,739.2771126465394,58.19075330831075,-0.4140622049037899,-0.0359306633472442,-0.7751635015010834
1918,2022-09-08,21325.48828125,22252.265625,21325.48828125,21325.48828125,19280.0234375,12033,-1,23.19077585340483,-66.10827110692584,23.945655327439663,5.6874559768611945,17.82134055113089,752.6699862967866,52.8437279884306,-0.3469261470406006,0.5122922249138355,-0.8150470787659287
