,Date,Open,High,Low,Close,Adj Close,Volume,Tendencia,Histogram,CCI_14,WILLR_14,ROC_10,TSI_13_25_13,CMO,COPP,Sentimiento Promedio,Sentimiento Máximo,Sentimiento Mínimo
1198,2019-10-24,7835.0,7850.0,7640.0,7835.0,6110.42431640625,83231,1,-0.7769350970008588,-71.28158228647284,-47.76615892206926,-1.878522229179712,-24.07508435296339,-13.553354179753402,-5.4330334119770285,-0.4387396253911512,0.3086444325745106,-0.9129327051341534
1199,2019-10-25,7570.0,7835.0,7534.89990234375,7570.0,5903.75390625,44623,-1,-10.584186433184158,-132.88805356409617,-93.18444705703884,-5.244711478282639,-25.264926402942024,-30.41689467250832,-6.331738528559931,-0.4822738726157695,0.188936062157154,-0.9352767779491842
1200,2019-10-28,7409.0,7570.0,7380.0,7409.0,5778.19189453125,12310,-1,-25.266245460213383,-193.13464240205212,-95.67099503992478,-5.739113905060325,-27.735394952310383,-38.29281047998086,-7.870174426552989,-0.3742359742471898,0.1409241631627082,-0.9311497784219682
1201,2019-10-29,7350.0,7430.0,7205.0,7350.0,5732.1787109375,20178,-1,-35.66709311835598,-195.94207511139425,-82.83820372120172,-8.056042031523642,-30.105033592387407,-40.9313588363956,-9.26231136276546,-0.3663869189241758,0.0743570476770401,-0.7614604607224464
1202,2019-10-30,7399.89990234375,7399.89990234375,7201.0,7399.89990234375,5771.0947265625,65452,1,-35.8083009330241,-151.74288127790172,-76.56968721581873,-6.29479672858364,-31.06589093784478,-35.64841045213961,-10.51995156294438,-0.3759657240339688,0.1933705285191536,-0.9342246307060122
1203,2019-11-04,7370.0,7400.0,7320.0,7370.0,5747.7763671875,28001,0,-34.52258565623791,-114.15487104128474,-78.84856070087609,-5.512820512820513,-32.06694012739022,-37.16826674480527,-11.54090530053775,-0.354730712249875,0.0594140887260437,-0.8777121286839247
1204,2019-11-05,7330.0,7400.0,7200.0,7330.0,5716.5810546875,64042,-1,-32.97578263001378,-109.43761822165142,-83.6272040302267,-7.215189873417722,-33.196449812182,-39.23586184533482,-12.129340575194744,-0.4968273237419243,0.0204693526029586,-0.8991553550586104
1205,2019-11-06,7234.0,7330.0,7150.0,7234.0,5641.71142578125,28325,-1,-34.84505152601997,-109.21204417931423,-90.04739336492891,-6.898326898326898,-34.89834363363732,-43.9988482139135,-13.480117428181076,-0.475909405746139,-0.0603657960891723,-0.8755208309739828
1206,2019-11-07,7230.0,7232.7001953125,7102.0,7230.0,5638.591796875,43854,0,-32.80681396613713,-106.12230964630808,-83.95989974937343,-6.103896103896104,-36.28991055055305,-44.19512889086685,-14.1706037186297,-0.3035622966668472,0.0643958747386932,-0.9509575790725648
1207,2019-11-08,7070.0,7440.0,7069.39990234375,7070.0,5513.80908203125,22862,-1,-38.3070570319897,-91.99590102164451,-99.92775131402664,-7.5816993464052285,-38.696168895228126,-51.51542802854944,-15.098213528768207,-0.2869860377395525,0.3570137247443199,-0.9079111516475676
1208,2019-11-11,7101.0,7330.0,7010.0,7101.0,5537.986328125,27886,0,-35.96745855831182,-97.19309974556192,-89.60000000000001,-9.36821952776005,-40.0579794977164,-47.47885448631174,-15.791038680024696,-0.4246854833327234,0.1131446957588195,-0.8771553849801421
1209,2019-11-12,7100.0,7225.5,6850.0,7100.0,5537.2060546875,139386,0,-30.79683303726213,-115.93763607376304,-75.82673053697708,-6.208718626155878,-41.16646832332416,-47.52741814916922,-16.363054148537184,-0.3177131754483151,0.1212239265441894,-0.8879434647969902
1210,2019-11-13,7131.5,7169.89990234375,7000.0,7131.5,5561.77197265625,37506,0,-21.97856105676968,-95.44888952462696,-71.85000000000001,-3.745444729383183,-41.48577001059663,-43.0406667319055,-15.91084317273683,-0.3057731371539245,0.2086860090494156,-0.8969688988290727
1211,2019-11-14,7225.0,7324.0,7092.60009765625,7225.0,5634.6923828125,64785,1,-7.329494587724923,-43.59608227361563,-62.5,-1.7006802721088434,-39.969535120141806,-30.366723495269,-14.544047225503272,-0.3760106690143319,0.4303442649543285,-0.9009704813361168
1212,2019-11-15,7410.0,7502.0,7350.0,7410.0,5778.97216796875,26756,1,16.062294274827735,73.58827272719252,-43.14720812182741,0.1364896524215283,-35.28491270792293,-9.662651259236828,-12.666709228674724,-0.1517241253621048,0.3704653084278106,-0.7890187408775091
1213,2019-11-18,7139.0,7420.0,7046.10009765625,7139.0,5567.62158203125,9182,-1,14.570152015103645,-35.197696701648375,-59.86111111111111,-3.1343283582089554,-33.97406034485309,-27.761134713207845,-11.812339282021451,-0.4904083671191564,0.1233660355210304,-0.9210303779691458
1214,2019-11-19,7269.0,7417.39990234375,7000.10009765625,7269.0,5669.0078125,24806,1,23.117139239898396,-7.151471308484495,-35.73619631901841,-0.8321964529331515,-30.778353143508337,-15.77827027306527,-9.969059829996132,-0.3258908645948395,0.240797221660614,-0.7968638269230723
1215,2019-11-20,7400.0,7450.0,7200.0,7400.0,5771.17236328125,90879,1,37.51954016915417,88.90816781087383,-15.644171779141104,2.2947193807022392,-26.25940546281955,-5.082659985495668,-7.408637773662854,-0.3601286262273788,0.1195358783006668,-0.9268135139718652
1216,2019-11-21,7230.0,7450.0,7230.0,7230.0,5638.591796875,183055,-1,35.54237188401584,54.96688628820064,-41.71779141104295,0.0,-24.38473727328479,-15.935722557896955,-5.928906252807556,-0.3797516271471977,0.0255316197872161,-0.8428773786872625
1217,2019-11-22,7211.0,7399.7998046875,7211.0,7211.0,5623.7744140625,54493,0,32.957912350367536,39.49426097711567,-44.6319018404908,1.9943422913719944,-23.136180362073148,-17.076947854342713,-4.698883251109201,-0.2607988231600477,0.5310151986777782,-0.9018781967461108
1218,2019-11-25,7300.0,7340.0,7180.0,7300.0,5693.1845703125,101085,1,36.94548601006997,43.01439644601119,-30.981595092024538,2.802422194057175,-20.889971282200253,-9.57308507136348,-2.7866722681403844,-0.3668513797008647,0.2471534833312034,-0.911533335223794
1219,2019-11-26,7000.0,7490.0,7000.0,7000.0,5459.21728515625,608192,-1,19.933970092539283,-53.74931654052807,-76.99386503067484,-1.408450704225352,-21.878584770974992,-26.64107512456662,-2.6043513442962625,-0.3257095373460444,0.1435380280017852,-0.8182139247655869
1220,2019-11-27,7401.0,7520.0,7101.0,7401.0,5771.95263671875,24581,1,35.34315220867427,89.1549421468793,-17.761194029850746,3.7790086237117015,-17.36370405772322,0.4160581587094222,-0.6171288785441277,-0.3610288695516911,0.209866464138031,-0.8088259994983673
1221,2019-11-28,7300.0,7402.0,7201.2001953125,7300.0,5693.1845703125,8763,-1,38.14820354048743,48.62288558143941,-32.83582089552238,1.038062283737024,-14.990480138254608,-5.084491088520377,0.8306985482205141,-0.3967355399167743,0.1012100502848625,-0.8758844705298543
1222,2019-11-29,7410.0,7600.0,7315.10009765625,7410.0,5778.97216796875,20743,1,46.28476404640716,138.0233942282038,-25.33333333333333,0.0,-11.997573429308032,1.2593852648105748,2.265911082642832,-0.4820291571892224,0.0168080329895019,-0.8560364423319697
1223,2019-12-02,7428.0,7500.0,7400.0,7428.0,5793.01025390625,122930,0,51.35976185647976,124.74250024315263,-28.666666666666664,4.048186020451044,-9.5481451793308,2.2987801463415525,3.119045326029404,-0.3665004987580081,0.3159759491682052,-0.8719679536297917
1224,2019-12-03,7140.0,7400.0,7140.0,7140.0,5568.40234375,86105,-1,34.60452729539232,-66.01206652650853,-76.66666666666666,-1.7746595130004128,-10.16298933333922,-13.407388323172825,2.856247850148681,-0.2652681089959861,0.266659814864397,-0.9403850748203696
1225,2019-12-04,7228.0,7260.0,7150.2001953125,7228.0,5637.0322265625,86391,1,28.961433966304934,-78.6194009638017,-62.0,-2.324324324324324,-9.726704055706216,-7.953438427249776,2.4125349564912097,-0.2538800046450513,0.3871859163045883,-0.868036444298923
1226,2019-12-05,7235.0,7278.0,7215.0,7235.0,5642.4912109375,73263,0,25.34379602503111,-43.48241584180169,-60.83333333333334,0.0691562932226832,-9.31943499522171,-7.510522986781523,1.2682566550166852,-0.393982224787275,0.0925389677286148,-0.8595711281523108
1227,2019-12-06,7310.0,7400.0,7240.0,7310.0,5700.982421875,9707,1,27.467154341929472,24.06686488473928,-48.33333333333333,1.372902510054084,-8.243014465123993,-2.6509808618165294,1.6361984618787726,-0.3103176290169358,0.2812862023711204,-0.7999699078500271
1228,2019-12-09,7400.0,7424.0,7280.0,7400.0,5771.17236328125,34451,1,33.97220969670052,68.5417244565128,-33.333333333333336,1.36986301369863,-6.488904094477645,3.0142576700480554,2.0639906094927016,-0.2287459951252318,0.3654326386749744,-0.936182856094092
1229,2019-12-10,7288.0,7400.0,7200.0,7288.0,5683.82470703125,63371,-1,29.9140244875029,-4.746335853513801,-52.0,4.114285714285714,-6.064632826454787,-4.080266259961229,1.3537840716626264,-0.2794796963748724,0.2917231321334839,-0.72037024050951
1230,2019-12-11,7300.0,7400.0,7250.0,7300.0,5693.1845703125,15708,0,27.29295171188383,17.262654203247063,-50.0,-1.3646804485880286,-5.604612555078203,-3.2597168131332817,1.849738114605131,-0.252449797000736,0.1779847741127014,-0.8116031968966126
